iter	Passed	Remaining
824	90508	677440
825	90611	677279
826	90708	677077
827	90809	676905
828	90906	676697
829	91006	676520
830	91108	676350
831	91211	676196
832	91311	676008
833	91416	675867
834	91518	675705
835	91623	675556
836	91720	675354
837	91820	675178
838	91924	675027
839	92054	675065
840	92150	674855
841	92248	674663
842	92357	674546
843	92560	675124
844	92675	675052
845	92803	675070
846	92904	674900
847	92998	674674
848	93111	674591
849	93206	674379
850	93310	674222
851	93420	674120
852	93525	673973
853	93660	674045
854	93763	673889
855	93848	673602
856	93947	673415
857	94057	673313
858	94152	673098
859	94258	672964
860	94454	673465
861	94658	674029
862	94896	674828
863	95090	675320
864	95191	675143
865	95285	674922
866	95402	674860
867	95497	674641
868	95601	674489
869	95700	674302
870	95800	674125
871	95897	673919
872	95997	673739
873	96102	673595
874	96206	673444
875	96302	673235
876	96400	673043
877	96507	672913
878	96611	672761
879	96713	672595
880	96813	672422
881	96915	672257
882	97017	672091
883	97153	672164
884	97276	672140
885	97413	672217
886	97618	672764
887	97780	673009
888	97911	673046
889	98009	672853
890	98128	672800
891	98224	672592
892	98322	672400
893	98423	672227
894	98527	672080
895	98625	671888
896	98754	671905
897	98855	671734
898	98956	671562
899	99056	671384
900	99160	671228
901	99259	671044
902	99349	670800
903	99484	670862
904	99614	670886
905	99709	670676
906	99812	670516
907	99913	670344
908	100016	670186
909	100114	669998
910	100213	669814
911	100320	669682
912	100414	669466
913	100515	669296
914	100629	669216
915	100727	669024
916	100828	668856
917	100933	668713
918	101029	668509
919	101134	668364
920	101243	668249
921	101345	668089
922	101439	667872
923	101532	667655
924	101648	667583
925	101816	667857
926	101919	667701
927	102018	667515
928	102120	667357
929	102216	667155
930	102319	666999
931	102421	666841
932	102516	666634
933	102626	666524
934	102730	666374
935	102843	666284
936	102972	666295
937	103094	666267
938	103234	666353
939	103333	666170
940	103424	665939
941	103539	665862
942	103650	665759
943	103805	665941
944	103905	665763
945	104077	666053
946	104183	665918
947	104281	665729
948	104384	665574
949	104487	665422
950	104587	665246
951	104702	665166
952	104803	665000
953	104910	664870
954	105021	664771
955	105123	664606
956	105221	664421
957	105325	664273
958	105428	664125
959	105527	663946
960	105628	663775
961	105732	663630
962	105840	663506
963	105935	663307
964	106037	663145
965	106138	662980
966	106276	663047
967	106397	663005
968	106493	662808
969	106586	662596
970	106700	662511
971	106804	662365
972	106904	662195
973	107007	662039
974	107110	661890
975	107202	661669
976	107312	661560
977	107411	661385
978	107517	661247
979	107615	661065
980	107732	661003
981	107911	661312
982	108085	661598
983	108184	661422
984	108289	661283
985	108397	661161
986	108513	661083
987	108654	661161
988	108829	661452
989	108928	661270
990	109026	661092
991	109152	661075
992	109261	660961
993	109370	660843
994	109467	660655
995	109566	660479
996	109670	660334
997	109787	660265
998	109881	660057
999	109979	659877
1000	110078	659700
1001	110184	659565
1002	110288	659420
1003	110389	659258
1004	110496	659128
1005	110600	658982
1006	110703	658833
1007	110885	659150
1008	110989	659009
1009	111088	658829
1010	111192	658686
1011	111297	658544
1012	111403	658414
1013	111510	658285
1014	111603	658076
1015	111698	657875
1016	111849	658008
1017	111967	657949
1018	112078	657844
1019	112179	657677
1020	112282	657529
1021	112385	657376
1022	112489	657230
1023	112590	657069
1024	112689	656897
1025	112799	656789
1026	112906	656662
1027	113010	656513
1028	113237	657087
1029	113339	656929
1030	113442	656780
1031	113545	656630
1032	113650	656488
1033	113744	656285
1034	113880	656325
1035	113981	656165
1036	114086	656023
1037	114192	655890
1038	114288	655699
1039	114419	655711
1040	114526	655585
1041	114660	655613
1042	114762	655453
1043	114898	655492
1044	115009	655391
1045	115110	655225
1046	115211	655066
1047	115326	654984
1048	115483	655143
1049	115586	654988
1050	115688	654834
1051	115787	654663
1052	115896	654543
1053	115996	654378
1054	116097	654215
1055	116195	654040
1056	116294	653867
1057	116395	653706
1058	116501	653571
1059	116600	653403
1060	116702	653247
1061	116799	653066
1062	116913	652976
1063	117016	652829
1064	117113	652644
1065	117215	652490
1066	117318	652344
1067	117422	652201
1068	117528	652067
1069	117630	651913
1070	117776	652005
1071	117892	651929
1072	117991	651755
1073	118157	651957
1074	118344	652272
1075	118449	652131
1076	118546	651952
1077	118644	651775
1078	118745	651612
1079	118847	651458
1080	118983	651490
1081	119088	651353
1082	119189	651195
1083	119286	651013
1084	119390	650869
1085	119492	650716
1086	119595	650570
1087	119704	650455
1088	119800	650268
1089	119946	650350
1090	120113	650550
1091	120223	650442
1092	120322	650268
1093	120445	650231
1094	120538	650027
1095	120635	649846
1096	120738	649696
1097	120839	649538
1098	120933	649343
1099	121040	649217
1100	121149	649102
1101	121255	648969
1102	121350	648778
1103	121453	648632
1104	121560	648504
1105	121664	648361
1106	121764	648198
1107	121865	648044
1108	121958	647843
1109	122063	647704
1110	122161	647530
1111	122301	647581
1112	122418	647507
1113	122526	647388
1114	122618	647184
1115	122720	647031
1116	122820	646870
1117	122921	646710
1118	123026	646574
1119	123152	646552
1120	123255	646406
1121	123369	646315
1122	123493	646276
1123	123584	646068
1124	123687	645924
1125	123787	645760
1126	123889	645613
1127	124019	645607
1128	124134	645520
1129	124230	645336
1130	124331	645183
1131	124434	645039
1132	124599	645212
1133	124715	645133
1134	124816	644974
1135	124918	644825
1136	125014	644643
1137	125122	644525
1138	125227	644387
1139	125323	644208
1140	125424	644048
1141	125553	644039
1142	125653	643876
1143	125766	643785
1144	125874	643666
1145	126005	643662
1146	126108	643516
1147	126194	643282
1148	126280	643050
1149	126379	642886
1150	126481	642735
1151	126580	642570
1152	126680	642410
1153	126783	642268
1154	126944	642415
1155	127045	642262
1156	127148	642114
1157	127245	641943
1158	127349	641801
1159	127455	641671
1160	127561	641544
1161	127667	641415
1162	127764	641241
1163	127869	641107
1164	127976	640981
1165	128071	640798
1166	128169	640628
1167	128270	640473
